alvo_data,teimosinha_n,min_hits,custo15,custo_total,payout_total,profit,PASS,win_at,best_hits
06/10/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
13/10/2003,37,14,1.0,148.0,0.0,-148.0,False,,13
20/10/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
27/10/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
03/11/2003,37,14,1.0,148.0,0.0,-148.0,False,,13
10/11/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
17/11/2003,37,14,1.0,148.0,0.0,-148.0,False,,13
24/11/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
01/12/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
08/12/2003,37,14,1.0,148.0,0.0,-148.0,False,,13
15/12/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
22/12/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
29/12/2003,37,14,1.0,148.0,0.0,-148.0,False,,12
05/01/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
12/01/2004,37,14,1.0,148.0,0.0,-148.0,False,,13
19/01/2004,37,14,1.0,148.0,0.0,-148.0,False,,13
26/01/2004,37,14,1.0,148.0,0.0,-148.0,False,,13
02/02/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
09/02/2004,37,14,1.0,148.0,0.0,-148.0,False,,11
16/02/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
25/02/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
01/03/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
08/03/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
15/03/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
22/03/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
29/03/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
05/04/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
12/04/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
19/04/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
26/04/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
03/05/2004,37,14,1.0,148.0,0.0,-148.0,False,,13
10/05/2004,37,14,1.0,148.0,0.0,-148.0,False,,12
